,celeb_bd,partner_bd,celeb_nominated,partner_nominated,marriage_status,celeb_gender,partner_gender
 Larry Fortensky / Elizabeth Taylor,1932-2-27,1952-1-17,True,False,"
(6 October 1991            - 
31 October 1996) (    divorced)          ",Female,Male
 John Warner / Elizabeth Taylor,1932-2-27,1927-2-18,True,False,"
(4 December 1976            - 
5 November 1982) (    divorced)          ",Female,Male
 Richard Burton / Elizabeth Taylor,1932-2-27,1925-11-10,True,True,"
(15 March 1964            - 
26 June 1974) (    divorced) (    1 child)          ",Female,Male
 Eddie Fisher / Elizabeth Taylor,1932-2-27,1928-8-10,True,True,"
(12 May 1959            - 
5 March 1964) (    divorced)          ",Female,Male
 Mike Todd / Elizabeth Taylor,1932-2-27,1907-6-22,True,True,"
(2 February 1957            - 
22 March 1958) (    his death) (    1 child)          ",Female,Male
 Michael Wilding / Elizabeth Taylor,1932-2-27,1912-7-23,True,False,"
(21 February 1952            - 
26 January 1957) (    divorced) (    2 children)          ",Female,Male
 Conrad Hilton Jr. / Elizabeth Taylor,1932-2-27,1926-7-6,True,False,"
(6 May 1950            - 
29 January 1951) (    divorced)          ",Female,Male
 Gary Merrill / Bette Davis,1908-4-5,1915-8-2,True,False,"
(28 July 1950            - 
6 July 1960) (    divorced) (    2 children)          ",Female,Male
               William Grant Sherry          / Bette Davis,1908-4-5,-1,True,False,"
(30 November 1945            - 
5 July 1950) (    divorced) (    1 child)          ",Female,-1
               Arthur Austin Farnsworth          / Bette Davis,1908-4-5,-1,True,False,"
(31 December 1940            - 
25 August 1943) (    his death)          ",Female,-1
 Harmon Nelson / Bette Davis,1908-4-5,1907-7-5,True,False,"
(18 August 1932            - 
6 December 1938) (    divorced)          ",Female,-1
 Andrew Upton / Cate Blanchett,1969-5-14,1966-0-0,True,False,"
(29 December 1997            - 
present) (    4 children)          ",Female,Male
               Andrea Dotti          / Audrey Hepburn,1929-5-4,-1,True,False,"
(18 January 1969            - 
21 September 1982) (    divorced) (    1 child)          ",Female,-1
 Mel Ferrer / Audrey Hepburn,1929-5-4,1917-8-25,True,False,"
(25 September 1954            - 
5 December 1968) (    divorced) (    1 child)          ",Female,Male
               Ned Rocknroll          / Kate Winslet,1975-10-5,-1,True,False,"
(5 December 2012            - 
present) (    1 child)          ",Female,-1
 Sam Mendes / Kate Winslet,1975-10-5,1965-8-1,True,True,"
(24 May 2003            - 
3 October 2010) (    divorced) (    1 child)          ",Female,Male
 Jim Threapleton / Kate Winslet,1975-10-5,1973-0-0,True,False,"
(22 November 1998            - 
13 December 2001) (    divorced) (    1 child)          ",Female,Male
 Olivier Martinez / Halle Berry,1966-8-14,1966-1-12,True,False,"
(13 July 2013            - 
28 December 2016) (    divorced) (    1 child)          ",Female,Male
 Eric Benét / Halle Berry,1966-8-14,1966-10-15,True,False,"
(24 January 2001            - 
3 January 2005) (    divorced)          ",Female,Male
 David Justice / Halle Berry,1966-8-14,1966-4-14,True,False,"
(1 January 1993            - 
24 June 1997) (    divorced)          ",Female,Male
 Carlo Ponti / Sophia Loren,1934-9-20,1912-12-11,True,True,"
(17 September 1957            - 
1962) (    annulled)          ",Female,Male
 Laurence Olivier / Vivien Leigh,1913-11-5,1907-5-22,True,True,"
(31 August 1940            - 
6 January 1961) (    divorced)          ",Female,Male
               Herbert Leigh Holman          / Vivien Leigh,1913-11-5,-1,True,False,"
(20 December 1932            - 
19 February 1940) (    divorced) (    1 child)          ",Female,-1
 Arthur Miller / Marilyn Monroe,1926-6-1,1915-10-17,True,True,"
(29 June 1956            - 
20 January 1961) (    divorced)          ",Female,Male
 Joe DiMaggio / Marilyn Monroe,1926-6-1,1914-11-25,True,False,"
(14 January 1954            - 
31 October 1955) (    divorced)          ",Female,Male
 James Dougherty / Marilyn Monroe,1926-6-1,1921-4-12,True,False,"
(19 June 1942            - 
13 September 1946) (    divorced)          ",Female,Male
 Julius Tennon / Viola Davis,1965-8-11,1953-12-24,True,False,"
(23 June 2003            - 
present) (    1 child)          ",Female,Male
 Daniel Moder / Julia Roberts,1967-10-28,1969-1-31,True,False,"
(4 July 2002            - 
present) (    3 children)          ",Female,Male
 Lyle Lovett / Julia Roberts,1967-10-28,1957-11-1,True,False,"
(25 June 1993            - 
22 March 1995) (    divorced)          ",Female,Male
 Alexandra Hedison / Jodie Foster,1962-11-19,1969-7-10,True,False,"
(20 April 2014            - 
present)          ",Female,Female
 Mickey Deans / Judy Garland,1922-6-10,1934-9-24,True,False,"
(15 March 1969            - 
22 June 1969) (    her death)          ",Female,Male
 Mark Herron / Judy Garland,1922-6-10,1928-7-8,True,False,"
(14 November 1965            - 
9 January 1969) (    divorced)          ",Female,Male
 Sidney Luft / Judy Garland,1922-6-10,1915-11-2,True,False,"
(8 June 1952            - 
19 May 1965) (    divorced) (    2 children)          ",Female,Male
 Vincente Minnelli / Judy Garland,1922-6-10,1903-2-28,True,True,"
(15 June 1945            - 
29 March 1951) (    divorced) (    1 child)          ",Female,Male
 David Rose / Judy Garland,1922-6-10,1910-6-15,True,True,"
(28 July 1941            - 
8 June 1944) (    divorced)          ",Female,Male
 David Bailey / Catherine Deneuve,1943-10-22,1938-1-2,True,False,"
(18 August 1965            - 
6 January 1972) (    divorced)          ",Female,Male
 Prince Rainier of Monaco / Grace Kelly,1929-11-12,1923-5-31,True,False,"
(18 April 1956            - 
14 September 1982) (    her death) (    3 children)          ",Female,Male
 Taylor Hackford / Helen Mirren,1945-7-26,1944-12-31,True,True,"
(31 December 1997            - 
present)          ",Female,Male
 Courtney B. Vance / Angela Bassett,1958-8-16,1960-3-12,True,True,"
(12 October 1997            - 
present) (    2 children)          ",Female,Male
 Pierre Galante / Olivia de Havilland,1916-7-1,1909-11-22,True,False,"
(2 April 1955            - 
30 April 1979) (    divorced) (    1 child)          ",Female,Male
 Marcus Goodrich / Olivia de Havilland,1916-7-1,1897-11-28,True,False,"
(26 August 1946            - 
28 August 1953) (    divorced) (    1 child)          ",Female,Male
 Blake Edwards / Julie Andrews,1935-10-1,1922-7-26,True,True,"
(12 November 1969            - 
15 December 2010) (    his death) (    2 children)          ",Female,Male
 Tony Walton / Julie Andrews,1935-10-1,1934-10-24,True,True,"
(10 May 1959            - 
14 November 1967) (    divorced) (    1 child)          ",Female,Male
 Anne Douglas / Kirk Douglas,1916-12-9,1919-4-23,True,False,"
(29 May 1954            - 
5 February 2020) (    his death) (    2 children)          ",Male,Female
 Diana Douglas / Kirk Douglas,1916-12-9,1923-1-22,True,False,"
(2 November 1943            - 
23 February 1951) (    divorced) (    2 children)          ",Male,Female
 Flora Carabella / Marcello Mastroianni,1924-9-28,1926-2-15,True,False,"
(12 August 1950            - 
19 December 1996) (    his death) (    1 child)          ",Male,Female
 Patricia Ward Kelly / Gene Kelly,1912-8-23,-1,True,False,"
(20 July 1990            - 
2 February 1996) (    his death)          ",Male,Female
 Jeanne Coyne / Gene Kelly,1912-8-23,1923-2-28,True,False,"
(6 August 1960            - 
10 May 1973) (    her death) (    2 children)          ",Male,-1
 Betsy Blair / Gene Kelly,1912-8-23,1923-12-11,True,True,"
(22 September 1941            - 
3 April 1957) (    divorced) (    1 child)          ",Male,Female
 Jada Pinkett Smith / Will Smith,1968-9-25,1971-9-18,True,False,"
(31 December 1997            - 
present) (    2 children)          ",Male,Female
 Sheree Fletcher / Will Smith,1968-9-25,1967-11-16,True,False,"
(9 May 1992            - 
10 December 1995) (    divorced) (    1 child)          ",Male,Female
               Sachiko Yoshimine          / Toshirô Mifune,1920-4-1,-1,False,False,"
(1950            - 
1995) (    her death) (    3 children)          ",Male,-1
 Calista Flockhart / Harrison Ford,1942-7-13,1964-11-11,True,True,"
(15 June 2010            - 
present) (    1 child)          ",Male,Female
 Melissa Mathison / Harrison Ford,1942-7-13,1950-6-3,True,True,"
(14 March 1983            - 
6 January 2004) (    divorced) (    2 children)          ",Male,Female
               Mary Marquardt          / Harrison Ford,1942-7-13,-1,True,False,"
(18 June 1964            - 
3 October 1979) (    divorced) (    2 children)          ",Male,-1
 Pilar Wayne / John Wayne,1907-5-26,1928-9-3,True,False,"
(1 November 1954            - 
11 June 1979) (    his death) (    3 children)          ",Male,Female
 Esperanza Baur / John Wayne,1907-5-26,1920-7-17,True,False,"
(17 January 1946            - 
1 November 1954) (    divorced)          ",Male,Female
               Josephine Alicia Saenz          / John Wayne,1907-5-26,-1,True,False,"
(24 June 1933            - 
25 December 1945) (    divorced) (    4 children)          ",Male,-1
               Suchitra          / Mohanlal,1960-5-21,-1,False,False,"
(28 April 1988            - 
present) (    2 children)          ",Male,-1
 Sandra Shaw / Gary Cooper,1901-5-7,1913-5-27,True,False,"
(15 December 1933            - 
13 May 1961) (    his death) (    1 child)          ",Male,Female
 Elisabeth Depardieu / Gérard Depardieu,1948-12-27,1941-8-5,True,False,"
(11 April 1970            - 
2 November 1996) (    divorced) (    2 children)          ",Male,Female
 Keisha Whitaker / Forest Whitaker,1961-7-15,1972-3-8,True,False,"
(4 May 1996            - 
present) (    filed for divorce) (    2 children)          ",Male,Female
 Lisa Gottsegen / Dustin Hoffman,1937-8-8,-1,True,False,"
(12 October 1980            - 
present) (    4 children)          ",Male,-1
 Anne Byrne Hoffman / Dustin Hoffman,1937-8-8,1943-9-28,True,False,"
(4 May 1969            - 
6 October 1980) (    divorced) (    2 children)          ",Male,Female
 Lydia Clarke / Charlton Heston,1923-10-4,1923-4-14,True,False,"
(17 March 1944            - 
5 April 2008) (    his death) (    2 children)          ",Male,Female
 Katie Holmes / Tom Cruise,1962-7-3,1978-12-18,True,False,"
(18 November 2006            - 
20 August 2012) (    divorced) (    1 child)          ",Male,Female
 Nicole Kidman / Tom Cruise,1962-7-3,1967-6-20,True,True,"
(24 December 1990            - 
8 August 2001) (    divorced) (    2 children)          ",Male,Female
 Mimi Rogers / Tom Cruise,1962-7-3,1956-1-27,True,False,"
(9 May 1987            - 
4 February 1990) (    divorced)          ",Male,Female
 LaTanya Richardson Jackson / Samuel L. Jackson,1948-12-21,1949-10-21,True,False,"
(18 August 1980            - 
present) (    1 child)          ",Male,Female
 Siân Phillips / Peter O'Toole,1932-8-2,1933-5-14,True,True,"
(December 1959            - 
14 August 1979) (    divorced) (    2 children)          ",Male,Female
 Susan Schneider / Robin Williams,1951-7-21,1964-1-24,True,False,"
(22 October 2011            - 
11 August 2014) (    his death)          ",Male,Female
 Marsha Garces Williams / Robin Williams,1951-7-21,1956-6-18,True,False,"
(30 April 1989            - 
2010) (    divorced) (    2 children)          ",Male,Female
 Valerie Velardi / Robin Williams,1951-7-21,-1,True,False,"
(4 June 1978            - 
6 December 1988) (    divorced) (    1 child)          ",Male,Female
 Melanie Griffith / Antonio Banderas,1960-8-10,1957-8-9,True,True,"
(14 May 1996            - 
4 December 2015) (    divorced) (    1 child)          ",Male,Female
 Ana Leza / Antonio Banderas,1960-8-10,-1,True,False,"
(27 July 1987            - 
1996) (    divorced)          ",Male,Female
 Nicole Mitchell Murphy / Eddie Murphy,1961-4-3,1968-1-5,True,False,"
(18 March 1993            - 
17 April 2006) (    divorced) (    5 children)          ",Male,Female
 Faten Hamamah / Omar Sharif,1932-4-10,1931-5-27,True,False,"
(5 February 1955            - 
1974) (    divorced) (    1 child)          ",Male,Female
 James Hill / Rita Hayworth,1918-10-17,1916-8-1,True,False,"
(2 February 1958            - 
7 September 1961) (    divorced)          ",Female,Male
 Dick Haymes / Rita Hayworth,1918-10-17,1918-9-13,True,False,"
(24 September 1953            - 
12 December 1955) (    divorced)          ",Female,Male
 Prince Aly Khan / Rita Hayworth,1918-10-17,1911-6-13,True,False,"
(27 May 1949            - 
26 January 1953) (    divorced) (    1 child)          ",Female,Male
 Orson Welles / Rita Hayworth,1918-10-17,1915-5-6,True,True,"
(7 September 1943            - 
1 December 1948) (    divorced) (    1 child)          ",Female,Male
               Edward Charles Holmgren Judson          / Rita Hayworth,1918-10-17,-1,True,False,"
(29 May 1937            - 
22 May 1942) (    divorced)          ",Female,-1
 Robert Wagner / Natalie Wood,1938-7-20,1930-2-10,True,True,"
(28 December 1957            - 
27 April 1962) (    divorced)          ",Female,Male
 Richard Gregson / Natalie Wood,1938-7-20,1930-5-5,True,True,"
(30 May 1969            - 
12 April 1972) (    divorced) (    1 child)          ",Female,Male
 Alfred Steele / Joan Crawford,1904-3-23,1901-4-24,True,False,"
(14 January 1956            - 
6 April 1959) (    his death)          ",Female,Male
 Phillip Terry / Joan Crawford,1904-3-23,1909-3-7,True,False,"
(21 July 1942            - 
25 April 1946) (    divorced) (    1 child)          ",Female,Male
 Franchot Tone / Joan Crawford,1904-3-23,1905-2-27,True,True,"
(11 October 1935            - 
11 April 1939) (    divorced)          ",Female,-1
 Douglas Fairbanks Jr. / Joan Crawford,1904-3-23,1909-12-9,True,False,"
(3 June 1929            - 
15 May 1934) (    divorced)          ",Female,Male
 Chris Sarandon / Susan Sarandon,1946-10-4,1942-7-24,True,True,"
(16 September 1967            - 
20 September 1979) (    divorced)          ",Female,Male
               David Shaw          / Glenn Close,1947-3-19,-1,True,False,"
(3 February 2006            - 
18 August 2015) (    divorced)          ",Female,-1
               James Constantine Marlas          / Glenn Close,1947-3-19,-1,True,False,"
(1 September 1984            - 
27 February 1987) (    divorced)          ",Female,-1
               Cabot Wade          / Glenn Close,1947-3-19,-1,True,False,"
(22 November 1969            - 
2 October 1971) (    divorced)          ",Female,-1
               ?          / Glenn Close,1947-3-19,-1,True,False,"
(?            - 
1969) (    divorced)          ",Female,-1
"               Alfred Wright, Jr.          / Joan Fontaine",1917-10-22,-1,True,False,"
(27 January 1964            - 
1969) (    divorced)          ",Female,-1
 Collier Young / Joan Fontaine,1917-10-22,1908-8-19,True,False,"
(12 November 1952            - 
3 January 1961) (    divorced)          ",Female,Male
 William Dozier / Joan Fontaine,1917-10-22,1908-2-13,True,False,"
(2 May 1946            - 
25 January 1951) (    divorced) (    1 child)          ",Female,Male
 Brian Aherne / Joan Fontaine,1917-10-22,1902-5-2,True,True,"
(20 August 1939            - 
14 June 1945) (    divorced)          ",Female,Male
 Bart Freundlich / Julianne Moore,1960-12-3,1970-1-17,True,False,"
(23 August 2003            - 
present) (    2 children)          ",Female,Male
 John Gould Rubin / Julianne Moore,1960-12-3,-1,True,False,"
(3 May 1986            - 
25 August 1995) (    divorced)          ",Female,Male
               Ian Alexander Sr.          / Regina King,1971-1-15,-1,True,False,"
(23 April 1997            - 
2007) (    divorced) (    1 child)          ",Female,-1
 Brad Pitt / Angelina Jolie,1975-6-4,1963-12-18,True,True,"
(14 August 2014            - 
present) (    filed for divorce) (    6 children)          ",Female,Male
 Billy Bob Thornton / Angelina Jolie,1975-6-4,1955-8-4,True,True,"
(5 May 2000            - 
27 May 2003) (    divorced)          ",Female,Male
 Jonny Lee Miller / Angelina Jolie,1975-6-4,1972-11-15,True,False,"
(28 March 1996            - 
3 February 1999) (    divorced)          ",Female,Male
 Ted Turner / Jane Fonda,1937-12-21,1938-11-19,True,False,"
(21 December 1991            - 
22 May 2001) (    divorced)          ",Female,Male
 Tom Hayden / Jane Fonda,1937-12-21,1939-12-11,True,False,"
(19 January 1973            - 
10 June 1990) (    divorced) (    2 children)          ",Female,Male
 Roger Vadim / Jane Fonda,1937-12-21,1928-1-26,True,False,"
(14 August 1965            - 
16 January 1973) (    divorced) (    1 child)          ",Female,Male
               Donald Saunders          / Liv Ullmann,1938-12-16,-1,True,False,"
(8 September 1985            - 
1995) (    divorced)          ",Female,-1
               Gappe Stang          / Liv Ullmann,1938-12-16,-1,True,False,"
(1960            - 
1965) (    divorced)          ",Female,-1
 Benjamin Millepied / Natalie Portman,1981-6-9,1977-6-15,True,False,"
(4 August 2012            - 
present) (    2 children)          ",Female,Male
 Jesse James / Sandra Bullock,1964-7-26,1969-4-19,True,False,"
(16 July 2005            - 
28 June 2010) (    divorced)          ",Female,Male
 Peter Viertel / Deborah Kerr,1921-9-30,1920-11-16,True,False,"
(23 July 1960            - 
16 October 2007) (    her death)          ",Female,Male
 Anthony C. Bartley / Deborah Kerr,1921-9-30,1919-3-28,True,False,"
(28 November 1945            - 
10 June 1960) (    divorced) (    2 children)          ",Female,Male
 Greg Wise / Emma Thompson,1959-4-15,1966-5-15,True,False,"
(29 July 2003            - 
present) (    2 children)          ",Female,Male
 Kenneth Branagh / Emma Thompson,1959-4-15,1960-12-10,True,True,"
(20 August 1989            - 
1 October 1995) (    divorced)          ",Female,Male
 David E. Kelley / Michelle Pfeiffer,1958-4-29,1956-4-4,True,False,"
(13 November 1993            - 
present) (    2 children)          ",Female,Male
 Peter Horton / Michelle Pfeiffer,1958-4-29,1953-8-20,True,False,"
(5 October 1981            - 
1988) (    divorced)          ",Female,Male
 Terry O'Neill / Faye Dunaway,1941-1-14,1938-7-30,True,False,"
(1982            - 
26 March 1987) (    divorced) (    1 child)          ",Female,Male
 Peter Wolf / Faye Dunaway,1941-1-14,1946-3-7,True,False,"
(7 August 1974            - 
1978) (    divorced)          ",Female,Male
 Javier Bardem / Penélope Cruz,1974-4-28,1969-3-1,True,True,"
(July 2010            - 
present) (    2 children)          ",Female,Male
 Keith Urban / Nicole Kidman,1967-6-20,1967-10-26,True,True,"
(25 June 2006            - 
present) (    2 children)          ",Female,Male
 Tom Cruise / Nicole Kidman,1967-6-20,1962-7-3,True,True,"
(24 December 1990            - 
8 August 2001) (    divorced) (    2 children)          ",Female,Male
 François-Henri Pinault / Salma Hayek,1966-9-2,1962-5-28,True,False,"
(14 February 2009            - 
present) (    1 child)          ",Female,Male
 Jim Simpson / Sigourney Weaver,1949-10-8,1956-2-21,True,False,"
(1 October 1984            - 
present) (    1 child)          ",Female,Male
 Tony Campisi / Kathy Bates,1948-6-28,-1,True,False,"
(April 1991            - 
1997) (    divorced)          ",Female,Male
 Darren Le Gallo / Amy Adams,1974-8-20,1974-7-21,True,False,"
(2 May 2015            - 
present) (    1 child)          ",Female,Male
 Susan Bridges / Jeff Bridges,1949-12-4,-1,True,False,"
(5 June 1977            - 
present) (    3 children)          ",Male,Female
 Daniela Lavender / Ben Kingsley,1943-12-31,1974-12-14,True,False,"
(3 September 2007            - 
present)          ",Male,Female
               Alexandra Christmann          / Ben Kingsley,1943-12-31,-1,True,False,"
(3 October 2003            - 
8 February 2005) (    divorced)          ",Male,-1
 Alison Sutcliffe / Ben Kingsley,1943-12-31,-1,True,False,"
(1 July 1978            - 
1 February 1992) (    divorced) (    2 children)          ",Male,Female
 Angela Morant / Ben Kingsley,1943-12-31,1941-1-15,True,False,"
(1966            - 
1972) (    divorced) (    2 children)          ",Male,Female
 Dawn Jones / Tommy Lee Jones,1946-9-15,1964-4-24,True,False,"
(19 March 2001            - 
present)          ",Male,Female
